sentence	pictos_ref_ids	sense_keys
abel a perdu son doudou	[[2485], [7271], [24760], [12272], [4945]]	[['boy%1:18:00::', 'male_child%1:18:00::'], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['lose%2:40:02::'], [], ['teddy_bear%1:06:00::', 'teddy%1:06:01::']]
il est l'heure d'aller dormir	[[], [5465], [8476], [7129], [7074], [2432], [6479]]	"[[], ['be%2:42:05::'], [], ['hour%1:28:00::', '60_minutes%1:28:00::', 'hr%1:28:00::'], [], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], ['slumber%2:29:00::', ""log_z's%2:29:00::"", ""catch_some_z's%2:29:00::"", 'sleep%2:29:00::', 'kip%2:29:00::']]"
abel est inquiet	[[2485], [5465], [11312]]	[['boy%1:18:00::', 'male_child%1:18:00::'], ['be%2:42:05::'], ['heebie-jeebies%1:26:00::', 'queasy%5:00:00:troubled:00', 'uneasy%5:00:00:troubled:00', 'unquiet%5:00:00:troubled:00', 'nervousness%1:26:00::', 'nerves%1:26:00::', 'screaming_meemies%1:26:00::', 'nervous%5:00:00:troubled:00', 'jitters%1:26:00::', 'anxious%5:00:00:troubled:00']]
il ne retrouve plus son doudou	[[6480], [], [6531], [6526], [12272], [4945]]	[[], [], ['contrive%2:36:00::', 'invent%2:36:00::', 'discover%2:31:00::', 'realise%2:31:00::', 'realize%2:31:00::', 'formulate%2:36:00::', 'discover%2:36:00::', 'find%2:36:00::', 'excogitate%2:36:00::', 'find%2:31:09::', 'understand%2:31:01::', 'see%2:31:01::', 'forge%2:36:08::', 'devise%2:36:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], [], ['teddy_bear%1:06:00::', 'teddy%1:06:01::']]
il demande à sa sœur bellina 	[[6480], [9847], [7041], [12272], [2422], [2484]]	[[], ['inquire%2:32:01::', 'enquire%2:32:00::', 'query%2:32:00::', 'ask%2:32:04::', 'question%2:32:00::'], [], [], ['sis%1:18:00::', 'sister%1:18:00::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::']]
as tu vu mon doudou 	[[7271], [2608], [2474], [12264], [4945]]	[['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], [], ['consider%2:39:08::', 'observe%2:39:00::', 'look_at%2:39:01::', 'look%2:39:00::', 'view%2:39:00::', 'see%2:39:00::'], [], ['teddy_bear%1:06:00::', 'teddy%1:06:01::']]
je ne le retrouve plus et j'aimerais tant le serrer contre moi	[[2617], [], [8476], [6531], [6526], [11399], [2617], [6600], [5521], [8476], [16869], [7067], [2617]]	[[], [], [], ['contrive%2:36:00::', 'invent%2:36:00::', 'discover%2:31:00::', 'realise%2:31:00::', 'realize%2:31:00::', 'formulate%2:36:00::', 'discover%2:36:00::', 'find%2:36:00::', 'excogitate%2:36:00::', 'find%2:31:09::', 'understand%2:31:01::', 'see%2:31:01::', 'forge%2:36:08::', 'devise%2:36:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], [], [], ['love%2:37:01::'], ['very_much%4:02:01::', 'lots%4:02:00::', 'a_good_deal%4:02:00::', 'much%4:02:00::', 'a_lot%4:02:00::', 'a_great_deal%4:02:00::', 'much%4:02:04::'], [], ['snap%2:35:00::', 'snatch_up%2:35:00::', 'snatch%2:35:00::', 'take%2:40:01::', 'snap_up%2:40:00::', 'snaffle%2:40:00::', 'grab%2:40:00::'], [], []]
non je ne l'ai pas vu répond elle mais je vais chercher avec toi	[[5525], [2617], [], [8476], [7271], [6526], [2474], [9030], [7028], [11377], [2617], [2432], [6946], [7064], [2608]]	[['deny%2:32:00::', 'deny%2:40:00::', 'no%1:10:00::', 'no%4:02:00::', 'refuse%2:40:01::'], [], [], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['consider%2:39:08::', 'observe%2:39:00::', 'look_at%2:39:01::', 'look%2:39:00::', 'view%2:39:00::', 'see%2:39:00::'], ['reply%2:32:00::', 'answer%2:31:00::', 'respond%2:32:00::', 'answer%2:32:00::'], [], [], [], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], ['search%2:39:00::', 'search%2:35:00::', 'look%2:39:02::', 'look_for%2:35:00::', 'seek%2:35:00::'], [], []]
abel cherche son doudou derrière les rideaux	[[2485], [6946], [12272], [4945], [2730], [7031], [8344]]	[['boy%1:18:00::', 'male_child%1:18:00::'], ['search%2:39:00::', 'search%2:35:00::', 'look%2:39:02::', 'look_for%2:35:00::', 'seek%2:35:00::'], [], ['teddy_bear%1:06:00::', 'teddy%1:06:01::'], ['ass%1:08:00::', 'arse%1:08:01::', 'seat%1:08:00::', 'tail%1:08:01::', 'behind%1:08:00::', 'keister%1:08:00::', 'fanny%1:08:00::', 'posterior%1:08:00::', 'backside%1:08:00::', 'buttock%1:08:00::', 'tush%1:08:00::', 'tail_end%1:08:00::', 'rear%1:08:00::', 'butt%1:08:00::', 'buttocks%1:08:00::', 'rump%1:08:00::', 'bum%1:08:00::', 'bottom%1:08:00::', 'can%1:08:00::', 'hindquarters%1:08:00::', 'hind_end%1:08:00::', 'fundament%1:08:00::', 'tooshie%1:08:00::', 'cheek%1:08:01::', 'buns%1:08:00::', 'prat%1:08:00::', 'rear_end%1:08:00::', 'stern%1:08:00::', 'derriere%1:08:00::', 'nates%1:08:00::'], [], ['drape%1:06:00::', 'curtain%1:06:00::', 'drapery%1:06:00::', 'mantle%1:06:01::', 'pall%1:06:00::']]
il ne s'y trouve pas	[[6480], [], [], [], [5465], [6526]]	[[], [], [], [], ['be%2:42:05::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::']]
